<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.25	02:00:00	1582.31100	1594.68300	1574.41700	1587.79900	3661	0	157600
2021.03.25	03:00:00	1587.89800	1588.89600	1548.58500	1550.78000	3178	0	199700
2021.03.25	04:00:00	1550.88000	1576.32400	1545.29200	1567.74300	4099	0	157400
2021.03.25	05:00:00	1567.74300	1578.12000	1556.66700	1567.94200	2693	0	156500
2021.03.25	06:00:00	1567.94200	1578.32000	1560.65800	1569.53900	1856	0	156700
2021.03.25	07:00:00	1569.53900	1587.89800	1566.14600	1583.90700	1294	0	158100
2021.03.25	08:00:00	1583.90700	1594.88300	1581.71200	1592.38900	1279	0	158700
2021.03.25	09:00:00	1592.38900	1594.18500	1568.74100	1569.63900	1541	0	158500
2021.03.25	10:00:00	1569.63900	1600.17100	1569.63900	1593.68600	2524	0	286400
2021.03.25	11:00:00	1593.68600	1608.65300	1586.70100	1606.35800	1668	0	292400
2021.03.25	12:00:00	1606.35800	1615.03900	1595.48200	1614.24000	1471	0	206300
2021.03.25	13:00:00	1614.24000	1617.93200	1588.39700	1588.49700	2192	0	247200
2021.03.25	14:00:00	1588.49700	1596.38000	1551.77800	1574.42800	4313	0	184500
2021.03.25	15:00:00	1574.42800	1598.77400	1558.86200	1593.78500	3316	0	197000
2021.03.25	16:00:00	1593.78500	1609.35100	1591.19100	1596.28000	3012	0	243800
2021.03.25	17:00:00	1596.28000	1599.27300	1576.32400	1590.49300	3663	0	289200
2021.03.25	18:00:00	1590.69200	1602.16700	1568.54100	1589.69400	4671	0	349700
2021.03.25	19:00:00	1589.69400	1606.59100	1583.80700	1601.36900	2661	0	260600
2021.03.25	20:00:00	1601.36900	1616.43600	1597.57700	1609.35100	2885	0	367300
2021.03.25	21:00:00	1609.35100	1612.34500	1598.57500	1601.86800	2122	0	344700
2021.03.25	22:00:00	1601.86800	1609.75000	1597.47700	1599.97200	2353	0	395200
2021.03.25	23:00:00	1599.97200	1606.75700	1594.58400	1606.55700	954	0	393100
2021.03.26	00:00:00	1606.55700	1612.44400	1576.12400	1580.21500	2383	0	393600
2021.03.26	01:00:00	1580.31500	1591.89000	1579.91600	1583.70800	2499	0	405100
2021.03.26	02:00:00	1583.60800	1624.51800	1583.60800	1617.93200	2654	0	159700
2021.03.26	03:00:00	1617.93200	1624.01900	1614.04100	1622.92100	1345	0	269400
2021.03.26	04:00:00	1622.92100	1624.01900	1607.75500	1610.14900	1106	0	339400
2021.03.26	05:00:00	1610.14900	1621.62400	1610.14900	1616.03600	1540	0	367800
2021.03.26	06:00:00	1616.03600	1619.13000	1608.55300	1616.33600	1139	0	408100
2021.03.26	07:00:00	1616.33600	1622.62200	1615.03900	1619.03000	356	0	379000
2021.03.26	08:00:00	1619.22900	1619.82800	1612.54400	1615.03900	284	0	408300
2021.03.26	09:00:00	1615.03900	1632.10100	1609.35100	1625.21600	1109	0	299400
2021.03.26	10:00:00	1625.21600	1633.99700	1619.92800	1622.32300	1626	0	301300
2021.03.26	11:00:00	1622.32300	1626.71300	1612.04500	1615.33800	1943	0	280100
2021.03.26	12:00:00	1615.33800	1622.82100	1612.54400	1619.82800	1073	0	237800
2021.03.26	13:00:00	1619.82800	1622.12300	1609.05200	1614.73900	1919	0	11100
2021.03.26	14:00:00	1614.14100	1630.80400	1609.55100	1630.00600	1191	0	339000
2021.03.26	15:00:00	1630.00600	1646.27000	1624.51800	1644.07500	1413	0	163900
2021.03.26	16:00:00	1644.17400	1646.27000	1635.59300	1640.18300	2057	0	264000
2021.03.26	17:00:00	1640.18300	1642.17900	1631.80200	1637.19000	1871	0	282900
2021.03.26	18:00:00	1637.19000	1663.43200	1630.50400	1662.23500	3028	0	267000
2021.03.26	19:00:00	1662.23500	1664.23000	1653.05500	1659.64000	1414	0	338800
2021.03.26	20:00:00	1659.64000	1661.73600	1649.76200	1654.35200	1243	0	337600
2021.03.26	21:00:00	1654.35200	1661.63600	1651.55800	1661.03700	1386	0	347300
2021.03.26	22:00:00	1661.03700	1671.01500	1658.44300	1660.03900	1699	0	300100
2021.03.26	23:00:00	1660.03900	1687.27900	1660.03900	1685.98200	1250	0	346500
2021.03.29	00:00:00	1664.03100	1676.50300	1662.43400	1671.41400	727	0	421600
2021.03.29	01:00:00	1671.41400	1682.09100	1668.42100	1680.79400	1764	0	403900
2021.03.29	02:00:00	1680.79400	1685.38300	1677.40100	1683.48800	993	0	395900
2021.03.29	03:00:00	1683.48800	1689.07500	1678.39900	1681.29300	1329	0	367100
2021.03.29	04:00:00	1681.29300	1683.78700	1674.60700	1680.89300	855	0	254100
2021.03.29	05:00:00	1680.89300	1694.36400	1678.39900	1691.47000	999	0	317400
2021.03.29	06:00:00	1691.47000	1697.45700	1690.87100	1692.56800	752	0	379400
2021.03.29	07:00:00	1692.56800	1697.95600	1689.97300	1693.36600	576	0	318300
2021.03.29	08:00:00	1693.36600	1695.86000	1681.69200	1685.18400	1157	0	317100
2021.03.29	09:00:00	1685.18400	1694.06400	1685.18400	1693.36600	871	0	376800
2021.03.29	10:00:00	1693.36600	1704.44100	1693.16600	1701.64800	702	0	399500
2021.03.29	11:00:00	1701.64800	1739.06500	1701.64800	1734.47500	1735	0	174000
2021.03.29	12:00:00	1734.47500	1765.10800	1734.47500	1758.12300	2035	0	174500
2021.03.29	13:00:00	1758.12300	1769.64800	1751.61600	1769.10900	3001	0	226300
2021.03.29	14:00:00	1769.10900	1773.21500	1758.41900	1762.48500	2798	0	251400
2021.03.29	15:00:00	1762.48500	1784.36500	1762.14600	1773.19000	2253	0	179700
2021.03.29	16:00:00	1773.19000	1784.86400	1765.70600	1779.07700	1250	0	487900
2021.03.29	17:00:00	1779.07700	1784.06600	1774.18800	1778.87700	1241	0	404800
2021.03.29	18:00:00	1778.87700	1787.65800	1758.32300	1786.16100	2419	0	288700
2021.03.29	19:00:00	1786.16100	1805.31900	1775.68400	1802.72500	2647	0	327500
2021.03.29	20:00:00	1802.72500	1836.25100	1800.23000	1830.16400	3214	0	294000
2021.03.29	21:00:00	1830.26400	1833.65700	1812.60300	1823.67900	1637	0	423100
2021.03.29	22:00:00	1823.67900	1826.17300	1804.92000	1811.50500	1209	0	424100
2021.03.29	23:00:00	1811.50500	1814.29900	1802.22600	1804.22100	1019	0	459300
2021.03.30	00:00:00	1804.22100	1814.29900	1804.12200	1805.41900	573	0	489600
2021.03.30	01:00:00	1805.31900	1813.20200	1804.32100	1809.90900	1062	0	498400
2021.03.30	02:00:00	1809.90900	1820.78500	1796.23900	1814.10000	1114	0	496200
2021.03.30	03:00:00	1814.10000	1824.77600	1807.61400	1807.61400	1006	0	451600
2021.03.30	04:00:00	1807.61400	1808.81100	1797.33700	1803.62300	873	0	477300
2021.03.30	05:00:00	1803.62300	1804.02200	1784.76400	1790.65100	1243	0	445800
2021.03.30	06:00:00	1790.55200	1799.33200	1788.75600	1794.14400	678	0	445100
2021.03.30	07:00:00	1794.14400	1809.80900	1785.16300	1801.62700	1220	0	438300
2021.03.30	08:00:00	1801.62700	1805.31900	1795.64000	1805.31900	1440	0	448300
2021.03.30	09:00:00	1805.31900	1820.28600	1801.12800	1814.19900	1864	0	491900
2021.03.30	10:00:00	1814.19900	1821.78300	1810.60700	1815.49700	1605	0	463100
2021.03.30	11:00:00	1815.49700	1818.78900	1801.52700	1811.60500	1989	0	458400
2021.03.30	12:00:00	1811.50500	1834.75400	1808.11300	1832.35900	1943	0	280200
2021.03.30	13:00:00	1832.45900	1844.33300	1821.88300	1834.75400	1994	0	193800
2021.03.30	14:00:00	1834.75400	1848.52400	1834.65400	1847.92500	738	0	259700
2021.03.30	15:00:00	1847.92500	1848.12500	1835.65200	1840.34200	740	0	275300
2021.03.30	16:00:00	1840.34200	1844.03400	1830.36400	1831.96000	1456	0	292300
2021.03.30	17:00:00	1831.96000	1841.55600	1825.47500	1836.15100	1791	0	278200
2021.03.30	18:00:00	1836.15100	1840.54100	1826.15200	1828.77900	1708	0	298200
2021.03.30	19:00:00	1828.63900	1834.59300	1826.17300	1829.23800	1920	0	343300
2021.03.30	20:00:00	1829.23800	1834.85300	1829.23800	1833.06500	2058	0	318400
2021.03.30	21:00:00	1833.09500	1844.50300	1833.09500	1840.27700	2445	0	289300
2021.03.30	22:00:00	1840.27700	1856.21100	1837.66000	1856.21100	2264	0	283500
